"","comp_smv_final"
"C3a.2181.23.4",0.311724362830008
"C3b.2242.51.2",0.13785437217522
"C3.2754.50.1",0.136875456524581
"C3adesArg.2755.8.2",0.0664760691869341
"iC3b.2683.1.1",0.082483786687983
"LKHA4.3204.2.1",0.193746941845709
